パン・ご飯,パン・ご飯,10002,3,0,0,,,,
ご飯,ご飯,10002,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10002,3,2,0,150,50,105,
パン,パン,10002,3,3,0,,,,
パン・ご飯,パン・ご飯,10004,3,0,0,,,,
ご飯,ご飯,10004,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10004,3,2,0,150,50,105,
パン,パン,10004,3,3,1,,,,
パン・ご飯,パン・ご飯,10082,3,0,0,,,,
ご飯,ご飯,10082,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10082,3,2,0,150,50,105,
パン,パン,10082,3,3,1,,,,
パン・ご飯,パン・ご飯,10083,3,0,0,,,,
ご飯,ご飯,10083,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10083,3,2,0,150,50,105,
パン,パン,10083,3,3,1,,,,
パン・ご飯,パン・ご飯,10086,3,0,0,,,,
ご飯,ご飯,10086,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10086,3,2,0,150,50,105,
パン,パン,10086,3,3,0,,,,
パン・ご飯,パン・ご飯,10087,3,0,0,,,,
ご飯,ご飯,10087,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10087,3,2,0,150,50,105,
パン,パン,10087,3,3,0,,,,
パン・ご飯,パン・ご飯,10088,3,0,0,,,,
ご飯,ご飯,10088,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10088,3,2,0,150,50,105,
パン,パン,10088,3,3,0,,,,
パン・ご飯,パン・ご飯,10089,3,0,0,,,,
ご飯,ご飯,10089,3,1,0,,,,
ご飯大盛り,ご飯大盛り,10089,3,2,0,150,50,105,
パン,パン,10089,3,3,0,,,,
パン・ご飯,パン・ご飯,10400,1,0,0,,,,
ご飯,ご飯,10400,1,1,0,,,,
ご飯大盛り,ご飯大盛り,10400,1,2,0,150,50,105,
パン,パン,10400,1,3,1,,,,
セット飲物,セット飲物,10400,3,0,0,,,,
ホットコーヒー,ホットコーヒー,10400,3,1,0,,,,
アイスコーヒー,アイスコーヒー,10400,3,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10400,3,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10400,3,4,0,,,,
紅茶,紅茶,10400,3,5,0,,,,
アイスティー,アイスティー,10400,3,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10400,3,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10400,3,8,0,,,,
エスプレッソ,エスプレッソ,10400,3,9,0,,,,
オレンジジュース,オレンジジュース,10400,3,10,0,,,,
アップルジュース,アップルジュース,10400,3,11,0,,,,
ミックスジュース,ミックスジュース,10400,3,12,0,,,,
トマトジュース,トマトジュース,10400,3,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10400,3,14,0,,,,
コーラ,コーラ,10400,3,15,0,,,,
ウーロン茶,ウーロン茶,10400,3,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10400,3,17,0,-300,-300,-300,
セット飲物,セット飲物,10002,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10002,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10002,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10002,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10002,4,4,0,,,,
紅茶,紅茶,10002,4,5,0,,,,
アイスティー,アイスティー,10002,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10002,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10002,4,8,0,,,,
エスプレッソ,エスプレッソ,10002,4,9,0,,,,
オレンジジュース,オレンジジュース,10002,4,10,0,,,,
アップルジュース,アップルジュース,10002,4,11,0,,,,
ミックスジュース,ミックスジュース,10002,4,12,0,,,,
トマトジュース,トマトジュース,10002,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10002,4,14,0,,,,
コーラ,コーラ,10002,4,15,0,,,,
ウーロン茶,ウーロン茶,10002,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10002,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10003,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10003,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10003,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10003,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10003,4,4,0,,,,
紅茶,紅茶,10003,4,5,0,,,,
アイスティー,アイスティー,10003,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10003,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10003,4,8,0,,,,
エスプレッソ,エスプレッソ,10003,4,9,0,,,,
オレンジジュース,オレンジジュース,10003,4,10,0,,,,
アップルジュース,アップルジュース,10003,4,11,0,,,,
ミックスジュース,ミックスジュース,10003,4,12,0,,,,
トマトジュース,トマトジュース,10003,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10003,4,14,0,,,,
コーラ,コーラ,10003,4,15,0,,,,
ウーロン茶,ウーロン茶,10003,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10003,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10004,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10004,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10004,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10004,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10004,4,4,0,,,,
紅茶,紅茶,10004,4,5,0,,,,
アイスティー,アイスティー,10004,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10004,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10004,4,8,0,,,,
エスプレッソ,エスプレッソ,10004,4,9,0,,,,
オレンジジュース,オレンジジュース,10004,4,10,0,,,,
アップルジュース,アップルジュース,10004,4,11,0,,,,
ミックスジュース,ミックスジュース,10004,4,12,0,,,,
トマトジュース,トマトジュース,10004,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10004,4,14,0,,,,
コーラ,コーラ,10004,4,15,0,,,,
ウーロン茶,ウーロン茶,10004,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10004,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10005,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10005,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10005,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10005,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10005,4,4,0,,,,
紅茶,紅茶,10005,4,5,0,,,,
アイスティー,アイスティー,10005,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10005,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10005,4,8,0,,,,
エスプレッソ,エスプレッソ,10005,4,9,0,,,,
オレンジジュース,オレンジジュース,10005,4,10,0,,,,
アップルジュース,アップルジュース,10005,4,11,0,,,,
ミックスジュース,ミックスジュース,10005,4,12,0,,,,
トマトジュース,トマトジュース,10005,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10005,4,14,0,,,,
コーラ,コーラ,10005,4,15,0,,,,
ウーロン茶,ウーロン茶,10005,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10005,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10006,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10006,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10006,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10006,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10006,4,4,0,,,,
紅茶,紅茶,10006,4,5,0,,,,
アイスティー,アイスティー,10006,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10006,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10006,4,8,0,,,,
エスプレッソ,エスプレッソ,10006,4,9,0,,,,
オレンジジュース,オレンジジュース,10006,4,10,0,,,,
アップルジュース,アップルジュース,10006,4,11,0,,,,
ミックスジュース,ミックスジュース,10006,4,12,0,,,,
トマトジュース,トマトジュース,10006,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10006,4,14,0,,,,
コーラ,コーラ,10006,4,15,0,,,,
ウーロン茶,ウーロン茶,10006,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10006,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10007,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10007,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10007,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10007,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10007,4,4,0,,,,
紅茶,紅茶,10007,4,5,0,,,,
アイスティー,アイスティー,10007,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10007,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10007,4,8,0,,,,
エスプレッソ,エスプレッソ,10007,4,9,0,,,,
オレンジジュース,オレンジジュース,10007,4,10,0,,,,
アップルジュース,アップルジュース,10007,4,11,0,,,,
ミックスジュース,ミックスジュース,10007,4,12,0,,,,
トマトジュース,トマトジュース,10007,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10007,4,14,0,,,,
コーラ,コーラ,10007,4,15,0,,,,
ウーロン茶,ウーロン茶,10007,4,16,0,,,,
セット飲物,セット飲物,10082,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10082,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10082,4,2,0,,,,
