1,喫煙１,4,1,
2,喫煙２,4,1,
3,喫煙３,4,1,
4,喫煙４,4,1,
5,喫煙５,4,1,
6,喫煙６,4,1,
7,喫煙７,4,1,
8,喫煙８,4,1,
9,喫煙９,4,1,
10,喫煙１０,4,1,
11,喫煙１１,4,1,
12,喫煙１２,4,1,
13,喫煙１３,4,1,
14,喫煙１４,4,1,
15,喫煙１５,4,1,
20,禁煙１,5,1,
21,禁煙２,5,1,
22,禁煙３,5,1,
23,禁煙４,5,1,
24,禁煙５,5,1,
25,禁煙６,5,1,
26,禁煙７,5,1,
27,禁煙８,5,1,
28,禁煙９,5,1,
29,禁煙１０,5,1,
30,禁煙１１（+2）,6,1,
31,禁煙１２（+3）,7,1,
32,禁煙１３（+4）,8,1,
33,禁煙１４,4,1,
34,禁煙１５,4,1,
50,ﾗｳﾝｼﾞ１,4,1,
51,ﾗｳﾝｼﾞ２,4,1,
52,ﾗｳﾝｼﾞ３,4,1,
53,ﾗｳﾝｼﾞ４(8名),8,1,
54,ﾗｳﾝｼﾞ５(8名),8,1,
101,ｺﾝﾍﾟﾙｰﾑA(60名),64,1,
102,ｺﾝﾍﾟﾙｰﾑB(36名),40,1,
103,ｺﾝﾍﾟﾙｰﾑC(16名),16,1,
104,ｺﾝﾍﾟﾙｰﾑD(16名),16,1,
105,ｺﾝﾍﾟﾙｰﾑE(8名),8,1,
106,ｺﾝﾍﾟﾙｰﾑF(8名+1),9,1,
201,VIP（ｺﾝﾄﾞﾙ）,4,1,
202,VIP（ｱﾙﾊﾞﾄﾛｽ）,2,1,
