103,11,12,12,1
103,12,13,13,1
103,13,14,14,1
103,14,15,15,1
103,15,16,16,1
104,0,1,1,1
104,1,2,2,1
104,2,3,3,1
104,3,4,4,1
104,4,5,5,1
104,5,6,6,1
104,6,7,7,1
104,7,8,8,1
104,8,9,9,1
104,9,10,10,1
104,10,11,11,1
104,11,12,12,1
104,12,13,13,1
104,13,14,14,1
104,14,15,15,1
104,15,16,16,1
105,0,1,1,1
105,1,2,2,1
105,2,3,3,1
105,3,4,4,1
105,4,5,5,1
105,5,6,6,1
105,6,7,7,1
105,7,8,8,1
106,0,1,1,1
106,1,2,2,1
106,2,3,3,1
106,3,4,4,1
106,4,5,5,1
106,5,6,6,1
106,6,7,7,1
106,7,8,8,1
106,8,9,9,1
