0,サイレント,silent,mp3,,
1,キー音1,keyTapSound,mp3,,
2,キー音2,button01a,mp3,,
3,キー音3,button02a,mp3,,
4,キー音4,button03a,mp3,,
5,キー音5,button04a,mp3,,
6,キー音6,button05,mp3,,
7,キー音7,button06,mp3,,
8,キー音8,select01,mp3,,
9,キー音9,select02,mp3,,
10,キー音10,select03,mp3,,
11,キー音11,select04,mp3,,
12,キー音12,select05,mp3,,
13,キー音13,select06,mp3,,
14,キー音14,select07,mp3,,
15,キー音15,select08,mp3,,
16,キー音16,select09,mp3,,
100,エラー音1,blip01,mp3,,
101,エラー音2,blip02,mp3,,
102,エラー音3,blip03,mp3,,
103,エラー音4,blip04,mp3,,
199,サイレント,silent,mp3,,
200,NG,blip04,mp3,,
201,爆発,small_explosion1,mp3,,
202,ドア,room_door_C,mp3,,
203,ゲーム調1,coin05,mp3,,
204,ゲーム調2,jump09,mp3,,
205,ダウン,powerdown07,mp3,,
206,サプライズ,surprise,mp3,,
207,手裏剣,shuriken_ninja_knifes1,mp3,,
299,サイレント,silent,mp3,,
